cancer	sex	agegroup	stand_weights
"NHL"	1	15	.0023049
"NHL"	2	15	.001712
"NHL"	1	45	.0025554
"NHL"	2	45	.0016702
"NHL"	1	55	.0042674
"NHL"	2	55	.0032068
"NHL"	1	65	.0057121
"NHL"	2	65	.0043175
"NHL"	1	75	.0051693
"NHL"	2	75	.006422
"bladder"	1	15	.0003674
"bladder"	2	15	.0002004
"bladder"	1	45	.0011692
"bladder"	2	45	.0004259
"bladder"	1	55	.0043509
"bladder"	2	55	.0013195
"bladder"	1	65	.0083928
"bladder"	2	65	.0026807
"bladder"	1	75	.0121258
"bladder"	2	75	.005804
"brain"	1	15	.0017537
"brain"	2	15	.0011107
"brain"	1	45	.0014781
"brain"	2	45	.0008184
"brain"	1	55	.0022464
"brain"	2	55	.0013696
"brain"	1	65	.0023383
"brain"	2	65	.0016953
"brain"	1	75	.0014698
"brain"	2	75	.0014948
"breast"	2	15	.0191741
"breast"	2	45	.0350077
"breast"	2	55	.0408201
"breast"	2	65	.0301557
"breast"	2	75	.038582
"cervix"	2	15	.0050775
"cervix"	2	45	.0016285
"cervix"	2	55	.0012777
"cervix"	2	65	.001119
"cervix"	2	75	.0018205
"colon"	1	15	.0010606
"colon"	2	15	.0010856
"colon"	1	45	.0025053
"colon"	2	45	.0023801
"colon"	1	55	.0072237
"colon"	2	55	.0053948
"colon"	1	65	.0134285
"colon"	2	65	.0099795
"colon"	1	75	.0162345
"colon"	2	75	.0204267
"kidney"	1	15	.000785
"kidney"	2	15	.000476
"kidney"	1	45	.0017955
"kidney"	2	45	.0009186
"kidney"	1	55	.0036244
"kidney"	2	55	.0017454
"kidney"	1	65	.0044344
"kidney"	2	65	.0023801
"kidney"	1	75	.0041922
"kidney"	2	75	.0030732
"leukaemia"	1	15	.0017788
"leukaemia"	2	15	.0010021
"leukaemia"	1	45	.0014197
"leukaemia"	2	45	.0008936
"leukaemia"	1	55	.0025471
"leukaemia"	2	55	.0015199
"leukaemia"	1	65	.0039751
"leukaemia"	2	65	.002355
"leukaemia"	1	75	.0048937
"leukaemia"	2	75	.0047518
"lung"	1	15	.0009938
"lung"	2	15	.0007015
"lung"	1	45	.0046181
"lung"	2	45	.0033655
"lung"	1	55	.0159422
"lung"	2	55	.009704
"lung"	1	65	.0279678
"lung"	2	65	.0171782
"lung"	1	75	.031375
"lung"	2	75	.0227817
"melanoma"	1	15	.002831
"melanoma"	2	15	.004543
"melanoma"	1	45	.0021379
"melanoma"	2	45	.0030231
"melanoma"	1	55	.0030815
"melanoma"	2	55	.0029563
"melanoma"	1	65	.00314
"melanoma"	2	65	.0027976
"melanoma"	1	75	.002831
"melanoma"	2	75	.0033404
"oesophagus"	1	15	.0003674
"oesophagus"	2	15	.0001336
"oesophagus"	1	45	.0018289
"oesophagus"	2	45	.000476
"oesophagus"	1	55	.0043342
"oesophagus"	2	55	.001261
"oesophagus"	1	65	.0053697
"oesophagus"	2	65	.00233
"oesophagus"	1	75	.0065222
"oesophagus"	2	75	.0059794
"others"	1	15	.013036
"others"	2	15	.0067978
"others"	1	45	.0097207
"others"	2	45	.0051944
"others"	1	55	.0158838
"others"	2	55	.0080588
"others"	1	65	.0182471
"others"	2	65	.0111988
"others"	1	75	.0181719
"others"	2	75	.0195666
"ovary"	2	15	.0022965
"ovary"	2	45	.0040336
"ovary"	2	55	.0063635
"ovary"	2	65	.0065723
"ovary"	2	75	.0066475
"pancreas"	1	15	.0003507
"pancreas"	2	15	.000167
"pancreas"	1	45	.0010522
"pancreas"	2	45	.0006931
"pancreas"	1	55	.0024302
"pancreas"	2	55	.0018623
"pancreas"	1	65	.0044344
"pancreas"	2	65	.0033738
"pancreas"	1	75	.0046181
"pancreas"	2	75	.0072153
"prostate"	1	15	.0001169
"prostate"	1	45	.003474
"prostate"	1	55	.0231826
"prostate"	1	65	.0502735
"prostate"	1	75	.0540732
"rectum"	1	15	.0007349
"rectum"	2	15	.0004259
"rectum"	1	45	.0026556
"rectum"	2	45	.0015199
"rectum"	1	55	.0065974
"rectum"	2	55	.0030481
"rectum"	1	65	.0102384
"rectum"	2	65	.0047852
"rectum"	1	75	.009587
"rectum"	2	75	.0086768
"stomach"	1	15	.0005679
"stomach"	2	15	.0004092
"stomach"	1	45	.001236
"stomach"	2	45	.0005178
"stomach"	1	55	.0033154
"stomach"	2	55	.0012193
"stomach"	1	65	.0068228
"stomach"	2	65	.0027475
"stomach"	1	75	.0091695
"stomach"	2	75	.0068312
"uterus"	2	15	.000643
"uterus"	2	45	.0028143
"uterus"	2	55	.007349
"uterus"	2	65	.0062884
"uterus"	2	75	.0058875
